feature,kind,available_by_discharge,include_in_model,reason
age,numeric,True,True,Known before discharge
sex,categorical,True,True,Known before discharge
site_id,categorical,True,True,Known before discharge
procedure_group,categorical,True,True,Known before discharge
comorbidity_index,numeric,True,True,Known before discharge
prior_overdose,binary,True,True,Known historical risk factor
oud_history,binary,True,True,Known historical risk factor
ed_visits_180d,numeric,True,True,Known historical utilization
inpatient_days_365d,numeric,True,True,Known historical utilization
discharge_opioid_mme,numeric,True,True,Known at discharge
benzodiazepine_active,binary,True,True,Known medication status at discharge
chronic_opioid_therapy,binary,True,True,Known medication history
pain_score_discharge,numeric,True,True,Available by discharge
p1_unresolved_quality_flag,binary,True,False,Used for deferral rather than model fitting
naloxone_at_discharge,binary,True,False,Current treatment/process variable; excluded to avoid predicting existing prescribing behavior
opioid_event_30d,binary,False,False,Post-discharge outcome and prediction target
opioid_event_30d_date,date,False,False,Post-discharge outcome timing; leakage if used as feature
post_discharge_refill_count_30d,numeric,False,False,Post-discharge variable; leakage if used as feature
