feature,importance_mean,importance_std
discharge_opioid_mme,0.193036612693577,0.011261176567750988
oud_history,0.045305597925787366,0.002960906783126545
benzodiazepine_active,0.04050218419026483,0.011293195943573916
chronic_opioid_therapy,0.0353423280937252,0.002839472019557913
ed_visits_180d,0.028852237968753344,0.001919817401316108
prior_overdose,0.02261368364896757,0.001354662444549464
procedure_group,0.0037492545078096767,0.002787847013435934
comorbidity_index,0.0025665127104513574,0.002225135474122359
site_id,0.0004895422223682305,0.0021472135075376922
age,-0.0005760132659124173,0.0008666373073387412
inpatient_days_365d,-0.0012465675331014975,0.001081304439359668
sex,-0.0013063411403752695,0.0009484347938677697
pain_score_discharge,-0.0024798592205246273,0.004580219609369827
